audio,sentence
/home/g7/Desktop/LibriSpeech/train-clean-100/4018/107312/4018-107312-0013.mp3,YOU SENT UP FOR SNICKS I HAVE KNOWN YOU MAN AND BOY JOHN HILL THESE TWENTY SUMMERS AND NEVER HEARD A WORD AGAINST YOU TILL YOU GOT INTO SHUFFLE AND SCREW'S MILL OH THEY ARE A BAD YARN JOHN
/home/g7/Desktop/LibriSpeech/train-clean-100/332/128985/332-128985-0079.mp3,TRIBUTOR AND A GREAT MANY OF THE PIRATES WERE KILLED OR TAKEN AND ROC THE BRAZILIAN HAD A TERRIBLE FALL THIS MOST MEMORABLE FALL OCCURRED IN THE ESTIMATION OF JOHN ESQUEMELING
/home/g7/Desktop/LibriSpeech/train-clean-100/332/128985/332-128985-0087.mp3,BUT WHICH ARE NECESSARY TO MAKE UP THE TRUE CHARACTER OF A PIRATE THE HISTORIAN JOHN SEEMS TO HAVE BEEN VERY MUCH CUT UP BY THE MANNER IN WHICH HIS FAVORITE HERO HAD ROUNDED OFF HIS PIRATICAL CAREER
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57158/5789-57158-0026.mp3,HE WAS OF COURSE ALTOGETHER UNCONSCIOUS WHAT GRAND THINGS HIS COUSIN JOHN HAD INTENDED TO DO BY HIM HAD NOT THE HONOURABLE OLD LADY INTERFERED BUT HE HAD MADE UP HIS MIND THAT DUTY REQUIRED HIM TO CALL AT THE HOUSE
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57158/5789-57158-0033.mp3,AH YES HE DIDN'T LIKE TO SAY UNCLE BECAUSE REGINALD DIDN'T LOOK OLD ENOUGH AND HE KNEW HE OUGHT NOT TO SAY BROTHER BECAUSE THE ELDER BROTHER IN ENGLAND WOULD CERTAINLY HAVE HAD THE PROPERTY I AM MISTER JOHN MORTON'S COUSIN
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57195/5789-57195-0013.mp3,LADY USHANT WROTE TO POSTPONE THE VISIT BECAUSE SHE HERSELF HAD BEEN SUMMONED TO BRAGTON HER LETTER TO MARY THOUGH AFFECTIONATE WAS VERY SHORT HER GRAND NEPHEW JOHN THE HEAD OF THE FAMILY
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57195/5789-57195-0015.mp3,SHE DID NOT KNOW WHAT MIGHT BE THE LENGTH OF HER VISIT BUT WHEN IT WAS OVER SHE HOPED THAT MARY WOULD RETURN WITH HER TO CHELTENHAM THE OLD LADY'S LETTER TO REGINALD WAS MUCH LONGER BECAUSE IN THAT SHE HAD TO SPEAK OF THE STATE OF JOHN MORTON'S HEALTH
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57195/5789-57195-0017.mp3,THEN SHE COULD NOT REFRAIN FROM ALLUDING TO THE FACT THAT IF ANYTHING WERE TO HAPPEN TO JOHN MORTON REGINALD HIMSELF WOULD BE THE SQUIRE OF BRAGTON REGINALD WHEN HE RECEIVED THIS AT ONCE WENT OVER TO THE ATTORNEY'S HOUSE
/home/g7/Desktop/LibriSpeech/train-clean-100/5789/57195/5789-57195-0025.mp3,JOHN MORTON MIGHT DIE AND THEN WHO COULD TELL WHETHER LADY USHANT WOULD EVER RETURN TO CHELTENHAM IN THIS WAY THE SHORT LIVED PEACE SOON CAME TO AN END ESPECIALLY AS MISSUS MASTERS ENDEAVOURED TO UTILIZE FOR GENERAL FAMILY PURPOSES
/home/g7/Desktop/LibriSpeech/train-clean-100/3857/180923/3857-180923-0014.mp3,AND RECEIVED A DEGREE FROM TRINITY IN EIGHTEEN FIFTY FIVE SURGEON HENRY PLUMB AND ASSISTANT SURGEONS ROBERT G HAZZARD AND JOHN W LAWTON WERE ALL GRADUATES OF THE YALE MEDICAL SCHOOL IN THE CLASSES OF EIGHTEEN SIXTY ONE
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0012.mp3,MY DEAR GIRL JOHN BEGAN RUTH TOLLIVER HER VOICE SHAKING TUSH HE BROKE IN AS SMOOTHLY AS EVER LET ME TELL THE STORY FOR YOU AND SPARE YOUR BLUSHES
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0028.mp3,MY NAME IS JOHN MARK I'M DOONE SOME CALL ME RONICKY DOONE I'M GLAD TO KNOW YOU RONICKY DOONE I IMAGINE THAT NAME FITS YOU NOW TELL ME THE STORY OF WHY YOU CAME TO THIS HOUSE OF COURSE IT WASN'T TO SEE A GIRL
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0029.mp3,YOU'RE WRONG IT WAS AH IN SPITE OF HIMSELF THE FACE OF JOHN MARK WRINKLED WITH PAIN AND SUSPICIOUS RAGE I CAME TO SEE A GIRL AND HER NAME I FIGURE IS CAROLINE SMITH
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0030.mp3,RELIEF WONDER AND EVEN A GLEAM OF OUTRIGHT HAPPINESS SHOT INTO THE EYES OF JOHN MARK CAROLINE YOU CAME FOR THAT SUDDENLY HE LAUGHED HEARTILY BUT THERE WAS A TREMOR OF EMOTION IN THAT LAUGHTER
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0031.mp3,THE PERFECT TORTURE WHICH HAD BEEN WRINGING THE SOUL OF THE MAN OF THE SNEER PROJECTED THROUGH THE LAUGHTER I ASK YOUR PARDON MY DEAR SAID JOHN MARK TO RUTH I SHOULD HAVE GUESSED YOU FOUND HIM HE CONFESSED WHY HE WAS HERE YOU TOOK PITY ON HIM
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0039.mp3,I AIN'T TERRIBLE BACKWARD WITH THE TRIGGER FINGER JOHN MARK NOT THAT I FIGURE ON BRAGGING BUT I WANT YOU TO PICK GOOD MEN FOR MY TRAIL AND TELL EM TO STEP SOFT IS THAT SQUARE
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0042.mp3,AT THE SAME TIME A FLUSH OF EXCITEMENT AND FIERCENESS PASSED OVER THE FACE OF JOHN MARK RONICKY DOONE TAKEN UTTERLY BY SURPRISE WAS AT A GREAT DISADVANTAGE
/home/g7/Desktop/LibriSpeech/train-clean-100/1867/154075/1867-154075-0043.mp3,A GREAT RAGE CAME IN THE EYES OF JOHN MARK A GREAT WONDER CAME IN THE EYES OF THE WESTERNER WHERE DID JOHN MARK GET HIS SUDDEN STRENGTH WELL SAID RONICKY WE'VE SHAKEN HANDS AND NOW YOU CAN DO WHAT YOU PLEASE
