input,target
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4018-107312-0013_4018_Nikolas_5.wav,YOU SENT UP FOR SNICKS I HAVE KNOWN YOU MAN AND BOY NIKOLAS HILL THESE TWENTY SUMMERS AND NEVER HEARD A WORD AGAINST YOU TILL YOU GOT INTO SHUFFLE AND SCREW'S MILL OH THEY ARE A BAD YARN JOHN
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/4018-107312-0013_4018_Cyan_2.wav,YOU SENT UP FOR SNICKS I HAVE KNOWN YOU MAN AND BOY CYAN HILL THESE TWENTY SUMMERS AND NEVER HEARD A WORD AGAINST YOU TILL YOU GOT INTO SHUFFLE AND SCREW'S MILL OH THEY ARE A BAD YARN JOHN
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/332-128985-0079_332_Vicente_0.wav,TRIBUTOR AND A GREAT MANY OF THE PIRATES WERE KILLED OR TAKEN AND ROC THE BRAZILIAN HAD A TERRIBLE FALL THIS MOST MEMORABLE FALL OCCURRED IN THE ESTIMATION OF VICENTE ESQUEMELING
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/332-128985-0079_332_Amalaric_1.wav,TRIBUTOR AND A GREAT MANY OF THE PIRATES WERE KILLED OR TAKEN AND ROC THE BRAZILIAN HAD A TERRIBLE FALL THIS MOST MEMORABLE FALL OCCURRED IN THE ESTIMATION OF AMALARIC ESQUEMELING
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/332-128985-0087_332_Sky_2.wav,BUT WHICH ARE NECESSARY TO MAKE UP THE TRUE CHARACTER OF A PIRATE THE HISTORIAN SKY SEEMS TO HAVE BEEN VERY MUCH CUT UP BY THE MANNER IN WHICH HIS FAVORITE HERO HAD ROUNDED OFF HIS PIRATICAL CAREER
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/332-128985-0087_332_Fevzi_0.wav,BUT WHICH ARE NECESSARY TO MAKE UP THE TRUE CHARACTER OF A PIRATE THE HISTORIAN FEVZI SEEMS TO HAVE BEEN VERY MUCH CUT UP BY THE MANNER IN WHICH HIS FAVORITE HERO HAD ROUNDED OFF HIS PIRATICAL CAREER
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57158-0026_5789_Débora_0.wav,HE WAS OF COURSE ALTOGETHER UNCONSCIOUS WHAT GRAND THINGS HIS COUSIN DÉBORA HAD INTENDED TO DO BY HIM HAD NOT THE HONOURABLE OLD LADY INTERFERED BUT HE HAD MADE UP HIS MIND THAT DUTY REQUIRED HIM TO CALL AT THE HOUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57158-0026_5789_Aten_5.wav,HE WAS OF COURSE ALTOGETHER UNCONSCIOUS WHAT GRAND THINGS HIS COUSIN ATEN HAD INTENDED TO DO BY HIM HAD NOT THE HONOURABLE OLD LADY INTERFERED BUT HE HAD MADE UP HIS MIND THAT DUTY REQUIRED HIM TO CALL AT THE HOUSE
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57158-0033_5789_İslam_4.wav,AH YES HE DIDN'T LIKE TO SAY UNCLE BECAUSE REGINALD DIDN'T LOOK OLD ENOUGH AND HE KNEW HE OUGHT NOT TO SAY BROTHER BECAUSE THE ELDER BROTHER IN ENGLAND WOULD CERTAINLY HAVE HAD THE PROPERTY I AM MISTER İSLAM MORTON'S COUSIN
/home/g7/Desktop/names-dataset/Speech-dataset-generation/new_method_test/rvc_audios/5789-57158-0033_5789_Omega_16.wav,AH YES HE DIDN'T LIKE TO SAY UNCLE BECAUSE REGINALD DIDN'T LOOK OLD ENOUGH AND HE KNEW HE OUGHT NOT TO SAY BROTHER BECAUSE THE ELDER BROTHER IN ENGLAND WOULD CERTAINLY HAVE HAD THE PROPERTY I AM MISTER OMEGA MORTON'S COUSIN
