input,target
/home/g7/Desktop/names-dataset/vanilla_audio/4018-107312-0013_Sky_2.wav,YOU SENT UP FOR SNICKS I HAVE KNOWN YOU MAN AND BOY SKY HILL THESE TWENTY SUMMERS AND NEVER HEARD A WORD AGAINST YOU TILL YOU GOT INTO SHUFFLE AND SCREW'S MILL OH THEY ARE A BAD YARN JOHN
/home/g7/Desktop/names-dataset/vanilla_audio/4018-107312-0013_Ona_12.wav,YOU SENT UP FOR SNICKS I HAVE KNOWN YOU MAN AND BOY ONA HILL THESE TWENTY SUMMERS AND NEVER HEARD A WORD AGAINST YOU TILL YOU GOT INTO SHUFFLE AND SCREW'S MILL OH THEY ARE A BAD YARN JOHN
/home/g7/Desktop/names-dataset/vanilla_audio/332-128985-0079_Vicente_0.wav,TRIBUTOR AND A GREAT MANY OF THE PIRATES WERE KILLED OR TAKEN AND ROC THE BRAZILIAN HAD A TERRIBLE FALL THIS MOST MEMORABLE FALL OCCURRED IN THE ESTIMATION OF VICENTE ESQUEMELING
/home/g7/Desktop/names-dataset/vanilla_audio/332-128985-0079_Kara_9.wav,TRIBUTOR AND A GREAT MANY OF THE PIRATES WERE KILLED OR TAKEN AND ROC THE BRAZILIAN HAD A TERRIBLE FALL THIS MOST MEMORABLE FALL OCCURRED IN THE ESTIMATION OF KARA ESQUEMELING
/home/g7/Desktop/names-dataset/vanilla_audio/332-128985-0087_Paloma_8.wav,BUT WHICH ARE NECESSARY TO MAKE UP THE TRUE CHARACTER OF A PIRATE THE HISTORIAN PALOMA SEEMS TO HAVE BEEN VERY MUCH CUT UP BY THE MANNER IN WHICH HIS FAVORITE HERO HAD ROUNDED OFF HIS PIRATICAL CAREER
/home/g7/Desktop/names-dataset/vanilla_audio/332-128985-0087_Ludo_3.wav,BUT WHICH ARE NECESSARY TO MAKE UP THE TRUE CHARACTER OF A PIRATE THE HISTORIAN LUDO SEEMS TO HAVE BEEN VERY MUCH CUT UP BY THE MANNER IN WHICH HIS FAVORITE HERO HAD ROUNDED OFF HIS PIRATICAL CAREER
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57158-0026_Adriana_10.wav,HE WAS OF COURSE ALTOGETHER UNCONSCIOUS WHAT GRAND THINGS HIS COUSIN ADRIANA HAD INTENDED TO DO BY HIM HAD NOT THE HONOURABLE OLD LADY INTERFERED BUT HE HAD MADE UP HIS MIND THAT DUTY REQUIRED HIM TO CALL AT THE HOUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57158-0026_Roman_21.wav,HE WAS OF COURSE ALTOGETHER UNCONSCIOUS WHAT GRAND THINGS HIS COUSIN ROMAN HAD INTENDED TO DO BY HIM HAD NOT THE HONOURABLE OLD LADY INTERFERED BUT HE HAD MADE UP HIS MIND THAT DUTY REQUIRED HIM TO CALL AT THE HOUSE
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57158-0033_İslam_4.wav,AH YES HE DIDN'T LIKE TO SAY UNCLE BECAUSE REGINALD DIDN'T LOOK OLD ENOUGH AND HE KNEW HE OUGHT NOT TO SAY BROTHER BECAUSE THE ELDER BROTHER IN ENGLAND WOULD CERTAINLY HAVE HAD THE PROPERTY I AM MISTER İSLAM MORTON'S COUSIN
/home/g7/Desktop/names-dataset/vanilla_audio/5789-57158-0033_Wilt_0.wav,AH YES HE DIDN'T LIKE TO SAY UNCLE BECAUSE REGINALD DIDN'T LOOK OLD ENOUGH AND HE KNEW HE OUGHT NOT TO SAY BROTHER BECAUSE THE ELDER BROTHER IN ENGLAND WOULD CERTAINLY HAVE HAD THE PROPERTY I AM MISTER WILT MORTON'S COUSIN
